geneID,GSM1563547_phoB_1.rpg.txt,GSM1563548_phoB_2.rpg.txt,GSM1563549_PA14_54510_1.rpg.txt,GSM1563550_PA14_54510_2.rpg.txt,GSM1563551_PA14_WT_1.rpg.txt,GSM1563552_PA14_WT_2.rpg.txt
"PA0263.1,tRNA-Arg",0,0,0,1,0,0
"PA0296-PA0297,P1",24,24,14,30,9,8
"PA0826.2,ssrA",55648,21836,50524,28977,16493,38764
"PA0836.1,P5",1,0,0,1,0,1
"PA0887.1,P7",31,11,19,28,3,23
"PA0976.1,tRNA-Lys",0,0,0,0,1,0
"PA1030.1,P8",7,12,4,5,2,11
"PA1052-PA1053,sRNA622",185,259,121,166,188,224
"PA1324.1,P9",22,23,18,19,10,15
"PA14_00010,dnaA",633,700,487,779,689,903
"PA14_00020,dnaN",555,580,429,602,639,570
"PA14_00030,recF",251,328,191,331,194,348
"PA14_00050,gyrB",865,914,784,1038,895,1129
PA14_00060,74,127,96,107,122,103
PA14_00070,34,48,28,45,22,46
PA14_00080,184,174,141,237,169,267
"PA14_00090,glyS",266,279,228,306,295,342
"PA14_00100,glyQ",173,145,113,188,139,191
"PA14_00110,tag",30,28,20,33,28,35
PA14_00120,129,160,89,113,144,143
PA14_00130,25,35,11,23,18,24
PA14_00140,30,33,14,20,18,19
PA14_00150,3,6,1,3,4,6
PA14_00160,31,31,23,39,41,38
"PA14_00170,trkA",129,177,103,146,94,190
"PA14_00180,sun",48,54,38,56,52,50
"PA14_00190,fmt",21,27,19,19,26,19
"PA14_00200,def",350,480,228,276,156,343
PA14_00210,149,176,136,181,152,214
"PA14_00230,smf",6,5,0,0,0,1
PA14_00240,20,21,16,14,16,23
"PA14_00250,qor",98,144,99,108,62,133
"PA14_00280,hemF",48,52,41,81,65,58
"PA14_00290,aroE",12,17,9,13,19,23
"PA14_00300,plcB",124,134,240,247,147,224
PA14_00310,46,46,85,91,92,68
PA14_00320,19,14,74,47,55,62
PA14_00340,4,7,2,1,6,4
PA14_00360,2,6,2,12,5,2
"PA14_00380,betC",9,6,9,11,7,8
PA14_00400,20,24,15,25,22,28
PA14_00410,39,30,30,36,21,58
PA14_00420,0,9,4,2,4,3
"PA14_00430,bvga",5,9,2,4,5,1
"PA14_00440,trpA",71,73,45,67,76,94
"PA14_00450,trpB",151,141,140,184,141,204
"PA14_00460,trpI",10,8,12,19,19,19
PA14_00470,195,164,180,236,126,200
PA14_00480,399,566,352,438,280,648
PA14_00490,62,47,29,53,47,72
PA14_00510,412,405,346,404,387,511
PA14_00520,2,9,2,5,1,3
PA14_00530,16,35,19,23,6,14
PA14_00550,19,29,21,17,35,18
